Event,FieldStarID,RA,Dec,t_0,t_E,u_0,Isource,Ibase,Icat,Ctype,A_I,Related_event
KMT-2020-BLG-0397,SSO15T0108.015046,17:36:34.16,-26:51:02.34,9004.73565,59.26,0.086,22.22,19.34,19.34,2,2.71,
KMT-2020-BLG-0398,SSO16M0203.027879,17:40:57.24,-24:19:19.60,8995.64221,30.2,0.023,21.27,19.74,19.74,1,1.57,
KMT-2020-BLG-0399,SSO17T0203.052482,17:43:45.60,-33:56:59.50,8998.5383,8.99,0.009,20.41,20.0,20.75,1,2.59,
KMT-2020-BLG-0400,SSO17T0601.027947,17:41:19.88,-34:16:18.08,8998.67448,36.98,0.108,22.0,19.95,19.95,2,1.93,
KMT-2020-BLG-0401,SSO18T0307.036149,17:44:15.30,-26:58:21.54,8998.22772,18.75,0.022,20.83,20.0,21.19,2,3.35,
KMT-2020-BLG-0402,SSO18T0601.059521,17:42:51.66,-27:42:46.26,9007.80393,35.79,0.031,20.07,20.0,21.9,2,4.22,
KMT-2020-BLG-0403,SSO18T0805.006915,17:41:41.26,-27:16:22.94,9019.81743,28.82,0.586,19.13,18.79,18.79,2,3.66,
KMT-2020-BLG-0404,SSO19M0303.031857,17:49:06.04,-24:14:36.82,9002.98415,12.49,0.401,20.48,20.0,20.67,2,2.41,
KMT-2020-BLG-0405,SSO19M0802.032741,17:46:37.15,-24:23:40.45,9002.38787,12.89,0.115,20.27,20.0,20.72,2,2.6,
KMT-2020-BLG-0406,SSO20M0402.009301,17:48:30.95,-22:16:21.22,9000.27535,17.43,0.122,20.31,18.67,18.67,1,1.82,
KMT-2020-BLG-0407,SSO20N0605.022419,17:47:30.83,-23:02:46.90,9027.25082,55.29,0.323,18.94,18.85,18.85,1,1.44,
KMT-2020-BLG-0408,SSO20T0104.032689,17:45:31.35,-23:09:43.49,8997.95889,4.53,0.071,20.13,19.4,19.4,1,1.39,
KMT-2020-BLG-0409,SSO21T0408.019806,17:52:03.28,-35:27:10.01,9003.30095,14.69,0.649,18.75,18.72,18.72,1,0.78,
KMT-2020-BLG-0410,SSO31N0308.061942,18:16:45.35,-25:57:12.38,8999.74869,37.0,0.073,20.07,20.0,20.41,1,0.73,
KMT-2020-BLG-0411,SSO31T0407.004924,18:11:26.12,-26:04:03.22,9002.56378,51.37,0.954,17.5,17.23,17.23,1,1.18,MB20099
KMT-2020-BLG-0412,SSO32K0503.033058,18:08:49.61,-27:38:04.60,9043.61052,3.85,0.402,18.72,19.08,19.08,1,1.13,
KMT-2020-BLG-0413,SSO32T0206.027744,18:10:15.12,-28:15:27.61,9060.4023,199.96,0.256,17.74,19.34,19.34,1,1.02,
KMT-2020-BLG-0414,SSO32T0705.043533,18:07:39.60,-28:29:05.50,9041.55526,90.53,0.002,19.59,19.37,19.37,1,0.99,MB20109
KMT-2020-BLG-0415,SSO33M0108.015510,18:17:40.38,-29:02:13.60,9007.35376,22.96,0.352,18.81,18.71,18.71,2,0.45,
KMT-2020-BLG-0416,SSO33N0702.002195,18:14:14.35,-30:53:55.86,9021.44147,171.12,0.046,21.92,16.98,16.98,4,0.44,
KMT-2020-BLG-0417,SSO34K0504.040715,18:01:08.09,-31:41:37.10,9015.43767,40.34,0.383,19.65,19.69,19.69,1,1.33,
KMT-2020-BLG-0418,SSO34K0704.014161,17:59:52.74,-31:41:20.69,9000.59186,34.26,0.075,21.13,18.71,18.71,1,1.43,
KMT-2020-BLG-0419,SSO34K0708.000250,17:59:46.88,-31:13:54.91,9003.343,5.94,0.992,14.32,14.11,14.11,1,1.41,
KMT-2020-BLG-0420,SSO34M0505.033929,18:06:24.34,-31:29:47.18,8992.9125,180.78,0.051,23.18,19.45,19.45,1,0.82,
KMT-2020-BLG-0421,SSO35M0308.010247,18:07:37.49,-24:51:47.16,8997.47936,8.27,0.681,19.14,19.28,19.28,4,2.58,
KMT-2020-BLG-0422,SSO35M0701.002748,18:05:22.17,-25:45:32.83,9031.81138,19.27,0.239,16.91,16.96,16.96,4,1.95,MB20078
KMT-2020-BLG-0423,SSO37K0302.050696,17:42:46.70,-35:10:49.91,9002.20472,48.37,0.258,20.62,20.0,20.23,2,1.45,
KMT-2020-BLG-0424,SSO37T0402.064320,17:42:03.01,-36:14:26.23,8998.15505,16.51,0.075,21.95,20.0,21.81,2,1.77,
KMT-2020-BLG-0425,SSO37T0706.049039,17:40:07.77,-35:47:13.24,9009.46615,63.93,0.016,22.38,20.0,21.23,2,2.22,
KMT-2020-BLG-0426,SSO41T0206.048815,17:53:06.31,-31:35:46.10,9086.90225,1.05,0.103,19.45,19.99,19.99,1,2.03,
KMT-2020-BLG-0427,SSO42M0504.010943,17:56:25.02,-28:38:00.89,8997.59849,96.0,0.017,22.7,17.49,17.49,1,1.67,
KMT-2020-BLG-0428,SSO42M0508.031578,17:56:15.46,-28:11:48.30,8997.34069,5.77,0.149,20.14,19.43,19.43,1,2.42,
KMT-2020-BLG-0429,SSO43K0204.022908,18:00:55.50,-27:33:21.71,8996.48005,16.14,0.155,19.23,18.61,18.61,1,1.36,
KMT-2020-BLG-0430,SSO43K0601.009475,17:58:26.65,-28:00:37.51,8997.99067,11.4,0.024,22.85,18.13,18.13,1,2.46,
KMT-2020-BLG-0431,SSO01K0208.079679,17:53:31.11,-30:04:42.89,9042.40171,6.07,0.005,19.51,20.0,20.03,1,1.58,
KMT-2020-BLG-0432,SSO04T0704.021050,17:59:54.49,-30:43:38.60,9008.51149,10.82,0.064,20.29,18.84,18.84,1,1.7,
KMT-2020-BLG-0433,SSO12N0205.026992,17:31:27.33,-28:16:39.07,9003.31692,18.55,0.015,20.33,20.0,20.13,2,2.19,
KMT-2020-BLG-0434,SSO12N0306.014973,17:30:35.25,-28:11:54.38,8994.44645,29.54,0.393,19.95,19.63,19.63,2,2.01,
KMT-2020-BLG-0435,SSO12T0502.028967,17:24:59.28,-28:41:25.40,9005.74115,25.11,0.108,21.25,20.0,20.47,2,1.96,
KMT-2020-BLG-0436,SSO14M0107.001594,17:41:04.01,-27:59:38.94,9033.83067,38.85,0.649,17.38,17.34,17.34,2,3.76,
KMT-2020-BLG-0437,SSO14M0406.012828,17:39:23.38,-28:10:19.88,9045.72324,81.86,0.149,19.01,18.96,18.96,2,2.83,
KMT-2020-BLG-0438,SSO20M0103.000122,17:50:08.22,-22:06:22.82,9030.76425,31.04,0.2,16.79,14.31,14.31,4,2.05,
KMT-2020-BLG-0439,SSO22T0508.065970,17:51:32.45,-33:24:18.22,9002.10854,7.68,0.09,20.94,20.0,22.15,2,1.67,
KMT-2020-BLG-0440,SSO32K0606.021886,18:08:05.49,-27:13:22.91,9004.0331,25.55,0.11,21.0,18.84,18.84,1,1.46,
KMT-2020-BLG-0441,SSO35T0806.005529,18:00:16.44,-26:12:02.74,9012.23616,14.88,0.01,19.17,19.05,19.05,2,3.74,
KMT-2020-BLG-0442,SSO36M0305.002286,18:18:56.55,-23:09:46.12,9037.33963,25.88,0.223,16.62,16.61,16.61,1,1.25,MB20085
KMT-2020-BLG-0443,SSO36T0304.016858,18:14:09.02,-24:19:24.35,9051.90671,199.31,0.059,20.15,20.0,20.14,4,2.33,
KMT-2020-BLG-0444,SSO42M0601.057510,17:55:32.04,-29:01:08.83,9004.77775,5.19,0.021,20.1,19.87,19.87,2,1.9,
KMT-2020-BLG-0445,SSO43M0405.021034,18:04:17.20,-27:22:26.51,9110.65388,50.31,0.938,18.49,18.33,18.33,1,0.77,
KMT-2020-BLG-0446,SSO43M0804.005657,18:02:09.35,-27:30:27.29,9020.14415,18.28,0.999,17.44,16.84,16.84,1,1.45,MB20072
