Event,FieldStarID,RA,Dec,t_0,t_E,u_0,Isource,Ibase,Icat,Ctype,A_I,Related_event,table_year,ra_deg,dec_deg
KMT-2016-BLG-0054,BLG03N0603.004150,18:03:26.13,-28:39:40.28,7470.80693,53.67,0.455,18.98,16.24,16.24,1,0.88,,2016,270.85887499999995,-28.661188888888887
KMT-2016-BLG-0055,SAO03N0603.007438,18:03:43.07,-28:43:21.11,7499.53103,18.47,0.955,17.15,17.17,17.17,1,0.8,OB160546,2016,270.92945833333334,-28.722530555555554
KMT-2016-BLG-0056,BLG03N0605.012896,18:03:22.85,-28:29:57.52,7584.32973,33.03,0.895,17.78,17.77,17.77,1,0.9,OB160995,2016,270.8452083333333,-28.499311111111112
KMT-2016-BLG-0057,BLG03N0608.021037,18:03:20.18,-28:02:41.32,7569.77808,15.83,0.311,20.36,18.39,18.39,1,0.84,,2016,270.8340833333333,-28.044811111111112
KMT-2016-BLG-0058,BLG03N0705.028287,18:03:02.98,-28:24:20.81,7490.58122,15.75,0.686,19.12,18.59,18.59,1,1.0,OB160584,2016,270.76241666666664,-28.405780555555555
KMT-2016-BLG-0059,BLG03N0808.091069,18:02:35.97,-28:00:40.50,7592.66243,197.99,0.017,23.5,20.0,20.5,1,1.21,OB161378,2016,270.649875,-28.01125
KMT-2016-BLG-0060,SAO03T0102.053419,18:01:27.83,-28:51:16.49,7506.46455,16.32,0.499,19.99,19.16,19.16,1,0.98,OB160777,2016,270.36595833333325,-28.854580555555557
KMT-2016-BLG-0061,BLG03T0203.040943,18:00:58.00,-28:41:34.51,7604.9586,51.82,0.348,18.78,18.75,18.75,1,1.06,OB161216,2016,270.2416666666666,-28.692919444444446
KMT-2016-BLG-0062,SAO03T0203.069872,18:00:54.04,-28:44:26.09,7521.66492,18.16,0.137,19.81,19.39,19.39,1,0.97,OB160858,2016,270.2251666666666,-28.740580555555557
KMT-2016-BLG-0063,BLG03T0203.086460,18:01:07.35,-28:40:40.69,7593.8501,35.67,0.468,19.82,19.82,19.82,1,1.08,OB161394,2016,270.28062499999993,-28.677969444444447
KMT-2016-BLG-0064,BLG03T0403.060018,17:59:44.26,-28:41:50.78,7577.14593,28.99,0.07,19.77,19.18,19.18,1,1.17,OB161211 OB161274 MB16379,2016,269.9344166666666,-28.69743888888889
KMT-2016-BLG-0065,BLG03T0408.019392,18:00:04.35,-28:06:55.12,7617.57988,67.24,0.18,18.94,18.5,18.5,1,1.52,OB161188 MB16467,2016,270.018125,-28.11531111111111
KMT-2016-BLG-0066,SAO03T0408.076351,17:59:44.17,-28:01:57.22,7525.0616,6.38,0.285,20.22,20.0,20.05,1,1.84,OB160875,2016,269.93404166666664,-28.03256111111111
KMT-2016-BLG-0067,SAO03T0502.018443,17:59:18.18,-28:50:25.91,7521.2823,163.01,0.023,22.94,17.98,17.98,1,1.1,,2016,269.82574999999997,-28.840530555555553
KMT-2016-BLG-0068,SAO03T0505.020852,17:59:16.43,-28:26:07.69,7526.81241,2.58,0.685,18.21,18.25,18.25,1,1.34,OB160885,2016,269.8184583333333,-28.435469444444443
KMT-2016-BLG-0069,SAO03T0601.003674,17:58:35.72,-28:57:22.00,7533.09396,7.84,0.966,16.27,15.78,15.78,1,0.96,OB160888,2016,269.6488333333333,-28.95611111111111
KMT-2016-BLG-0070,SAO03T0603.044542,17:58:47.58,-28:43:30.00,7507.57382,37.15,0.082,21.41,18.95,18.95,1,1.2,OB160784,2016,269.69825,-28.724999999999998
KMT-2016-BLG-0071,SAO03T0604.055231,17:58:46.07,-28:36:13.10,7528.12596,7.45,0.11,21.18,19.4,19.4,1,1.54,,2016,269.6919583333333,-28.60363888888889
KMT-2016-BLG-0072,SAO03T0703.038200,17:58:18.80,-28:42:19.51,7546.81258,129.04,0.033,21.47,18.99,18.99,1,1.41,OB160896,2016,269.57833333333326,-28.705419444444445
KMT-2016-BLG-0073,SAO03T0705.078401,17:58:00.21,-28:24:03.20,7495.24684,54.18,0.027,24.33,20.0,20.03,1,1.62,,2016,269.5008749999999,-28.400888888888886
KMT-2016-BLG-0074,SAO03T0708.062828,17:58:21.85,-28:01:53.51,7522.5526,8.32,0.291,20.52,20.0,20.25,1,2.27,,2016,269.5910416666666,-28.031530555555555
KMT-2016-BLG-0075,SSO03T0805.067995,17:57:49.14,-28:26:30.98,7443.86039,24.6,0.374,18.78,19.74,19.74,1,1.68,OB160012 MB16013,2016,269.45474999999993,-28.441938888888888
KMT-2016-BLG-0076,SAO03T0808.069872,17:57:45.61,-28:00:26.10,7513.81609,60.48,0.044,23.57,20.0,20.38,1,2.57,OB160823,2016,269.4400416666666,-28.00725
KMT-2016-BLG-0077,BLG42K0101.029383,17:53:27.03,-29:02:36.10,7491.98183,41.99,0.503,19.99,18.64,18.64,1,2.37,OB160553,2016,268.362625,-29.043361111111114
KMT-2016-BLG-0078,SAO42K0101.041042,17:53:48.96,-29:05:07.69,7499.14821,19.6,0.771,18.92,18.99,18.99,1,1.9,OB160610,2016,268.45399999999995,-29.085469444444442
KMT-2016-BLG-0079,SAO42K0104.005663,17:53:42.92,-28:42:07.31,7542.10376,24.32,0.189,20.93,17.48,17.48,2,2.1,OB160938,2016,268.4288333333333,-28.702030555555556
KMT-2016-BLG-0080,BLG42K0201.014924,17:53:23.12,-29:04:03.22,7499.17402,55.08,0.537,18.63,18.02,18.02,1,2.37,OB160403,2016,268.3463333333333,-29.06756111111111
KMT-2016-BLG-0081,BLG42K0201.024207,17:53:23.98,-29:02:28.72,7477.09162,31.1,0.448,18.7,18.75,18.75,1,2.6,OB160301,2016,268.3499166666666,-29.041311111111114
KMT-2016-BLG-0082,SAO42K0201.073671,17:53:12.92,-29:05:07.12,7539.91899,10.98,0.058,21.83,20.0,20.18,1,2.52,,2016,268.3038333333333,-29.08531111111111
KMT-2016-BLG-0083,BLG42K0202.002774,17:52:58.65,-28:54:36.11,7619.92853,38.5,0.906,17.88,16.89,16.89,2,3.03,,2016,268.244375,-28.910030555555554
KMT-2016-BLG-0084,SAO42K0204.006190,17:53:09.37,-28:40:03.90,7493.67921,99.7,0.008,23.98,17.8,17.8,2,2.82,OB160674,2016,268.2890416666666,-28.66775
KMT-2016-BLG-0085,SAO42K0206.020251,17:53:14.55,-28:27:02.45,7548.74146,12.22,0.058,21.81,20.0,20.31,2,2.38,OB161009,2016,268.31062499999996,-28.450680555555554
KMT-2016-BLG-0086,BLG42K0401.020630,17:51:56.40,-29:05:21.41,7602.8127,49.01,0.675,19.8,19.78,19.78,2,3.25,OB161491,2016,267.985,-29.089280555555554
KMT-2016-BLG-0087,SAO42K0502.011587,17:51:28.51,-28:51:32.08,7491.17036,26.76,0.321,19.98,19.97,19.97,2,4.1,OB160555,2016,267.86879166666665,-28.858911111111112
