MJD,Magnitude,Error,Facility,Filter,Observer
2510758.31181,19.8849,0.096,CTIO_KMTC42,KMT(I),KMT
2510758.33129,19.9615,0.0921,CTIO_KMTC42,KMT(I),KMT
2510758.34851,20.0242,0.0925,CTIO_KMTC42,KMT(I),KMT
2510758.37227,19.7878,0.0805,CTIO_KMTC42,KMT(I),KMT
2510758.3991599996,19.9283,0.0854,CTIO_KMTC42,KMT(I),KMT
2510758.41584,19.8384,0.1029,CTIO_KMTC42,KMT(I),KMT
2510759.25395,19.3821,0.0884,CTIO_KMTC42,KMT(I),KMT
2510759.27104,19.0412,0.0774,CTIO_KMTC42,KMT(I),KMT
2510759.2875699997,19.8824,0.1429,CTIO_KMTC42,KMT(I),KMT
2510759.3042900003,19.7351,0.1201,CTIO_KMTC42,KMT(I),KMT
2510759.3241799995,19.4955,0.0902,CTIO_KMTC42,KMT(I),KMT
2510759.3495899998,19.8373,0.1021,CTIO_KMTC42,KMT(I),KMT
2510759.3664299995,19.758,0.111,CTIO_KMTC42,KMT(I),KMT
2510759.3829699997,19.962,0.1072,CTIO_KMTC42,KMT(I),KMT
2510759.4053000007,19.9983,0.1152,CTIO_KMTC42,KMT(I),KMT
2510760.2549,19.885,0.1123,CTIO_KMTC42,KMT(I),KMT
2510760.2789699994,19.8209,0.0983,CTIO_KMTC42,KMT(I),KMT
2510760.2959400006,20.0022,0.1685,CTIO_KMTC42,KMT(I),KMT
2510760.31946,19.9394,0.11,CTIO_KMTC42,KMT(I),KMT
2510760.3379500005,19.7679,0.0843,CTIO_KMTC42,KMT(I),KMT
2510760.36056,20.0286,0.0938,CTIO_KMTC42,KMT(I),KMT
2510760.3877600003,20.0254,0.1056,CTIO_KMTC42,KMT(I),KMT
2510760.40424,20.037,0.0985,CTIO_KMTC42,KMT(I),KMT
2510760.4213500004,20.3995,0.4563,CTIO_KMTC42,KMT(I),KMT
2510761.2449200004,19.4063,0.1633,CTIO_KMTC42,KMT(I),KMT
2510761.26246,19.7832,0.1203,CTIO_KMTC42,KMT(I),KMT
2510761.2795899995,19.7071,0.1038,CTIO_KMTC42,KMT(I),KMT
2510761.31449,20.0264,0.1244,CTIO_KMTC42,KMT(I),KMT
2510761.33177,19.9861,0.1012,CTIO_KMTC42,KMT(I),KMT
2510761.34877,19.7372,0.0915,CTIO_KMTC42,KMT(I),KMT
2510761.3653800003,19.8703,0.0888,CTIO_KMTC42,KMT(I),KMT
2510761.3825000003,20.0226,0.1134,CTIO_KMTC42,KMT(I),KMT
2510761.41094,19.685,0.1284,CTIO_KMTC42,KMT(I),KMT
2510762.2482699994,19.8539,0.1352,CTIO_KMTC42,KMT(I),KMT
2510762.2665299997,19.792,0.1034,CTIO_KMTC42,KMT(I),KMT
2510762.28367,19.989,0.1282,CTIO_KMTC42,KMT(I),KMT
2510762.3006500006,20.1169,0.1493,CTIO_KMTC42,KMT(I),KMT
2510762.32457,19.7657,0.1058,CTIO_KMTC42,KMT(I),KMT
2510762.34858,20.0514,0.106,CTIO_KMTC42,KMT(I),KMT
2510762.35126,20.042,0.1076,CTIO_KMTC42,KMT(I),KMT
2510762.36814,19.9338,0.0919,CTIO_KMTC42,KMT(I),KMT
2510762.3856700007,20.0363,0.1097,CTIO_KMTC42,KMT(I),KMT
2510762.40527,19.9375,0.0831,CTIO_KMTC42,KMT(I),KMT
2510762.4233999997,19.6545,0.6936,CTIO_KMTC42,KMT(I),KMT
2510763.2502500005,19.9835,0.1113,CTIO_KMTC42,KMT(I),KMT
2510763.27886,20.3005,0.1449,CTIO_KMTC42,KMT(I),KMT
2510763.2958199997,20.1164,0.1174,CTIO_KMTC42,KMT(I),KMT
2510763.3130099997,19.8456,0.0947,CTIO_KMTC42,KMT(I),KMT
2510763.3294600006,19.9906,0.0927,CTIO_KMTC42,KMT(I),KMT
2510763.3462300003,19.8229,0.0789,CTIO_KMTC42,KMT(I),KMT
2510763.3749400005,20.0535,0.0998,CTIO_KMTC42,KMT(I),KMT
2510763.39178,19.83,0.0749,CTIO_KMTC42,KMT(I),KMT
2510763.4089599997,19.9066,0.0796,CTIO_KMTC42,KMT(I),KMT
2510764.2369800005,20.3382,0.1733,CTIO_KMTC42,KMT(I),KMT
2510764.2598199993,20.0898,0.1264,CTIO_KMTC42,KMT(I),KMT
2510764.2806899995,20.0907,0.1095,CTIO_KMTC42,KMT(I),KMT
2510764.3055300005,20.0452,0.0927,CTIO_KMTC42,KMT(I),KMT
2510764.32197,19.9904,0.0896,CTIO_KMTC42,KMT(I),KMT
2510764.33858,20.0971,0.0988,CTIO_KMTC42,KMT(I),KMT
2510764.35499,19.9064,0.0808,CTIO_KMTC42,KMT(I),KMT
2510764.37531,19.953,0.0731,CTIO_KMTC42,KMT(I),KMT
2510764.4059299994,19.952,0.0782,CTIO_KMTC42,KMT(I),KMT
2510764.4229300003,19.7626,0.174,CTIO_KMTC42,KMT(I),KMT
2510765.23264,20.3398,0.5052,CTIO_KMTC42,KMT(I),KMT
2510765.24902,19.9834,0.1109,CTIO_KMTC42,KMT(I),KMT
2510765.26633,20.3541,0.2645,CTIO_KMTC42,KMT(I),KMT
2510765.2829800006,20.2219,0.293,CTIO_KMTC42,KMT(I),KMT
2510765.31513,19.8536,0.0636,CTIO_KMTC42,KMT(I),KMT
2510765.3334100004,20.0189,0.071,CTIO_KMTC42,KMT(I),KMT
2510765.3499999996,20.0908,0.0749,CTIO_KMTC42,KMT(I),KMT
2510765.3671700004,20.0297,0.0758,CTIO_KMTC42,KMT(I),KMT
2510765.39104,19.9996,0.0998,CTIO_KMTC42,KMT(I),KMT
2510765.4246200006,19.8182,0.1164,CTIO_KMTC42,KMT(I),KMT
2510766.22819,20.0485,0.1218,CTIO_KMTC42,KMT(I),KMT
2510766.24546,20.0236,0.1057,CTIO_KMTC42,KMT(I),KMT
2510766.26231,20.2544,0.135,CTIO_KMTC42,KMT(I),KMT
2510766.27974,20.0288,0.1115,CTIO_KMTC42,KMT(I),KMT
2510766.2989,19.9626,0.0913,CTIO_KMTC42,KMT(I),KMT
2510766.31989,20.0959,0.1103,CTIO_KMTC42,KMT(I),KMT
2510766.3453,20.0205,0.1078,CTIO_KMTC42,KMT(I),KMT
2510766.3624,20.0594,0.1007,CTIO_KMTC42,KMT(I),KMT
2510766.38115,20.2728,0.1106,CTIO_KMTC42,KMT(I),KMT
2510766.3974900004,19.878,0.0706,CTIO_KMTC42,KMT(I),KMT
2510766.4203500003,19.8274,0.1369,CTIO_KMTC42,KMT(I),KMT
2510767.2298300005,20.1045,0.1394,CTIO_KMTC42,KMT(I),KMT
2510767.25878,19.8341,0.0904,CTIO_KMTC42,KMT(I),KMT
2510767.2763400003,19.9084,0.0988,CTIO_KMTC42,KMT(I),KMT
2510767.29385,20.2628,0.1158,CTIO_KMTC42,KMT(I),KMT
2510767.3113,20.1154,0.1128,CTIO_KMTC42,KMT(I),KMT
2510767.3157400005,19.9851,0.0848,CTIO_KMTC42,KMT(I),KMT
2510767.3339300007,20.0996,0.0917,CTIO_KMTC42,KMT(I),KMT
2510767.3615799993,19.914,0.0771,CTIO_KMTC42,KMT(I),KMT
2510767.3783599995,20.0141,0.0787,CTIO_KMTC42,KMT(I),KMT
2510767.39513,19.9513,0.0827,CTIO_KMTC42,KMT(I),KMT
2510767.41228,19.9021,0.0874,CTIO_KMTC42,KMT(I),KMT
2510768.2322000004,19.7945,0.0935,CTIO_KMTC42,KMT(I),KMT
2510768.2616600003,19.9345,0.0989,CTIO_KMTC42,KMT(I),KMT
2510768.2802300006,20.1274,0.1183,CTIO_KMTC42,KMT(I),KMT
2510768.2998900004,20.2364,0.1254,CTIO_KMTC42,KMT(I),KMT
2510768.3169800006,20.0817,0.0926,CTIO_KMTC42,KMT(I),KMT
2510768.3351600002,19.8449,0.0777,CTIO_KMTC42,KMT(I),KMT
2510768.35736,19.8969,0.0851,CTIO_KMTC42,KMT(I),KMT
2510768.3818999995,20.1,0.103,CTIO_KMTC42,KMT(I),KMT
2510768.39869,19.955,0.0865,CTIO_KMTC42,KMT(I),KMT
2510768.4029200003,20.0109,0.0809,CTIO_KMTC42,KMT(I),KMT
2510768.4245100003,19.8892,0.1815,CTIO_KMTC42,KMT(I),KMT
2510769.23109,19.8744,0.1036,CTIO_KMTC42,KMT(I),KMT
2510769.2507300004,20.0085,0.11,CTIO_KMTC42,KMT(I),KMT
2510769.2707,20.0441,0.0985,CTIO_KMTC42,KMT(I),KMT
2510769.3055499997,20.1193,0.0945,CTIO_KMTC42,KMT(I),KMT
2510769.3229,19.9644,0.0831,CTIO_KMTC42,KMT(I),KMT
2510769.3259200007,19.9704,0.0839,CTIO_KMTC42,KMT(I),KMT
2510769.3435900006,19.9243,0.0981,CTIO_KMTC42,KMT(I),KMT
2510769.3604300003,20.0362,0.0907,CTIO_KMTC42,KMT(I),KMT
2510769.3813700005,20.0271,0.0864,CTIO_KMTC42,KMT(I),KMT
2510769.40967,19.9373,0.0787,CTIO_KMTC42,KMT(I),KMT
2510769.42676,20.2144,0.2972,CTIO_KMTC42,KMT(I),KMT
2510770.2292,20.029,0.0998,CTIO_KMTC42,KMT(I),KMT
2510770.2319600005,19.944,0.0965,CTIO_KMTC42,KMT(I),KMT
2510770.2476199996,19.8034,0.0948,CTIO_KMTC42,KMT(I),KMT
2510770.27269,19.9278,0.0993,CTIO_KMTC42,KMT(I),KMT
2510770.28945,19.9719,0.0878,CTIO_KMTC42,KMT(I),KMT
2510770.3095699996,20.0262,0.0813,CTIO_KMTC42,KMT(I),KMT
2510770.33758,19.9902,0.0824,CTIO_KMTC42,KMT(I),KMT
2510770.35444,20.055,0.0761,CTIO_KMTC42,KMT(I),KMT
2510770.37106,19.9175,0.067,CTIO_KMTC42,KMT(I),KMT
2510770.39183,19.9719,0.0843,CTIO_KMTC42,KMT(I),KMT
2510770.41242,19.9952,0.075,CTIO_KMTC42,KMT(I),KMT
2510771.2253900003,19.5873,0.1021,CTIO_KMTC42,KMT(I),KMT
2510771.2507000007,20.1184,0.1354,CTIO_KMTC42,KMT(I),KMT
2510771.27204,19.8804,0.1019,CTIO_KMTC42,KMT(I),KMT
2510771.2889799997,20.0585,0.1074,CTIO_KMTC42,KMT(I),KMT
2510771.3063399997,19.8961,0.0947,CTIO_KMTC42,KMT(I),KMT
2510771.3335299995,19.9378,0.1093,CTIO_KMTC42,KMT(I),KMT
2510771.35515,19.6295,0.0972,CTIO_KMTC42,KMT(I),KMT
2510771.3722600006,19.8034,0.1078,CTIO_KMTC42,KMT(I),KMT
2510771.3899099994,19.8415,0.0962,CTIO_KMTC42,KMT(I),KMT
2510771.40692,19.8659,0.1004,CTIO_KMTC42,KMT(I),KMT
2510772.23474,19.9643,0.1193,CTIO_KMTC42,KMT(I),KMT
2510772.2548699994,19.6035,0.095,CTIO_KMTC42,KMT(I),KMT
2510772.2715600003,19.7366,0.0945,CTIO_KMTC42,KMT(I),KMT
2510772.28837,20.0813,0.1069,CTIO_KMTC42,KMT(I),KMT
2510772.3050100002,19.7585,0.0919,CTIO_KMTC42,KMT(I),KMT
